id,track_id,created_at,thread_id,username,body
343578930,319656982,2017/04/29 16:31:23 +0000,2216689,swnxxx,LooKiNG forWARed to The RiSE of the Phoenix 2017 xXx
343318097,319656982,2017/04/27 23:27:38 +0000,2608829,Truth Freedom,"great that chapo trap house is listening to you valuable insights into hierarchy, the deep state, power factions and the ""post 911+anthrax inside-job world"""
343316571,319656982,2017/04/27 23:13:36 +0000,5111615,Truth Freedom,creative destruction could be the phrase you meant :) https://economics.mit.edu/files/1785
343315385,319656982,2017/04/27 23:02:33 +0000,4502668,Truth Freedom,"i think he doesnt really necessarily always go against his campaign promises, or go opposite to the vibes, atmosphere or expectations of his campaign, because i think in his campaign trump was so contradictory, so obviously clownish (so ""all over the map"") - i think unlike many other politicians trump was really over the top in his amorality and obvious+ flip-flop"
343314634,319656982,2017/04/27 22:55:32 +0000,4081146,Truth Freedom,this is so funny :)
343314062,319656982,2017/04/27 22:51:47 +0000,3826835,Truth Freedom,thanks for letting me know what redpilled is :)
343243676,319656982,2017/04/27 15:02:15 +0000,5650618,- Arcane -,Thanks again Abby & Robbie!! It's so good to hear some reporting  from great characters such as yourselves. And i can relate to it. Thanks so much ❤
343232764,319656982,2017/04/27 13:36:31 +0000,3060822,Truth Freedom,"thank you for the insightful podcast, again. :) 90% of the time they used drugs & had endless supply of drugs. that's intersting"
343225344,319656982,2017/04/27 12:29:44 +0000,5789543,Trish Roberts 5,Yes it's really great. Is it possible to just make a one off in a year?
343224700,319656982,2017/04/27 12:23:48 +0000,5720037,Trish Roberts 5,hope it goes well :)
343223023,319656982,2017/04/27 12:07:05 +0000,5373563,Trish Roberts 5,It would probably increase your popularity in the US. I kid you not. Notoriety works in the US.
343222862,319656982,2017/04/27 12:05:36 +0000,5403635,Trish Roberts 5,lol geez
343219488,319656982,2017/04/27 11:31:47 +0000,3471361,Trish Roberts 5,A stupid virus
343219455,319656982,2017/04/27 11:31:31 +0000,3463276,Trish Roberts 5,lol
343212321,319656982,2017/04/27 10:15:40 +0000,2529068,Trish Roberts 5,Yes it is sick
343209845,319656982,2017/04/27 09:47:42 +0000,2000884,Trish Roberts 5,Yes people are getting more stupid :(
343201326,319656982,2017/04/27 08:09:06 +0000,270135,Trish Roberts 5,I'll hazard a guess. I think they get to talk about stuff they don't want anyone to listen to and it's in the wide open area so less chance of spying and bugging. Just harkening back to the Sopranos. hehe ;-)
343180005,319656982,2017/04/27 03:30:45 +0000,111636,Rand Paul's Ass Sweat,"Abby, I'm sorry little Randy tried to get you fired from your job; I had nothing to do with it, I'm merely his ass sweat -- please except my apolgies on his behalf."
350136651,318204134,2017/06/09 14:44:33 +0000,3811189,Brett Gleason,"Saddam wanted to start his own currency, like libya... think about it."
350136414,318204134,2017/06/09 14:42:53 +0000,3639753,Brett Gleason,"This next war will be the last for the masses... the world is isolating the USA  because of our military, its all we got.... MILITARY."
350135974,318204134,2017/06/09 14:39:53 +0000,3536585,Brett Gleason,The GOP is worse by far then ISIS
350135688,318204134,2017/06/09 14:37:57 +0000,3364528,Brett Gleason,All these killings are done in our names... blood is on our hans coz we do not try n stop it.
350135442,318204134,2017/06/09 14:36:13 +0000,3148758,Brett Gleason,ALL FOR THE LOVE OF MONEY ROB... BOTTOM LINE... SLAUGHTER OF THE INNOCENT...
350134926,318204134,2017/06/09 14:32:37 +0000,3013440,Brett Gleason,"MSM, ... ""The mass media. What are they? They're huge corporations, massive corporations, linked up with even bigger corporations. They sell audiences to other businesses, namely advertisers. So when you turn on the television set, CBS doesn't make any money. They make money from the advertisers.You're the product that they're selling, and the same is true of the daily newspaper. They're huge corporations selling audiences, potential consumers, to other businesses, all linked up closely to the government, especially the big media. What picture of the world do you expect them to present?"""
350134617,318204134,2017/06/09 14:30:22 +0000,2816455,Brett Gleason,"I said a year ago a nuke would be the next 9-11 if any... The GOP and the filthy rich got their under ground bunkers ready to go... ""HEARSAY"""
